"evidence_id","citation_key","stream","evidence_type","full_text_status","source_table","claim_level","decision_interface","point_in_time","uncertainty","context_portability","action_feasibility","opportunity_set","evaluation","reproducibility_auditability","manuscript_use","notes"
"REV01","Sarlis2020","cross-stream review","review","FULL_TEXT","01-review-methods-and-positioning.md","not applicable","prior-review positioning","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","partial","Table 1 and Introduction","Reviews player and team evaluation; used for scope comparison, not outcome evidence."
"REV02","Terner2021","cross-stream review","review","FULL_TEXT","01-review-methods-and-positioning.md","not applicable","prior-review positioning","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","partial","Table 1 and Introduction","Methodological review of basketball player and team performance."
"REV03","Huyghe2022","cross-stream review","review","FULL_TEXT","01-review-methods-and-positioning.md","not applicable","prior-review positioning","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","partial","Table 1 and Introduction","NBA gameplay-performance systematic review; salaries and health/injury are outside its stated scope."
"REV04","Kovalchik2023","cross-stream review","review","FULL_TEXT","01-review-methods-and-positioning.md","not applicable","prior-review positioning and data-access boundary","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","yes","Table 1; on-court action; Introduction","Cross-sport tracking-data review used for method and access framing."
"REV05","Chen2025","cross-stream review","review","ABSTRACT_ONLY","01-review-methods-and-positioning.md","not applicable","prior-review positioning","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not reported","Table 1 and Introduction","Only high-level abstract-supported coverage claims are retained; not used for detailed findings."
"REV06","ZhouLi2024","cross-stream review","review","FULL_TEXT","../reviews/jsa-targeted-citation-fact-audit.md","not applicable","prior-review positioning","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not reported","Table 1 and Introduction","Full text supports the reported dimension-granularity-task-stakeholder-question organizing structure and its 32-question agenda."
"OA01","Kubatko2007","on-court action; cross-stream foundation","methodological study","FULL_TEXT","01-review-methods-and-positioning.md","measurement","observation-to-state","partial","partial","partial","not applicable","not applicable","not applicable","partial","Table 1 and on-court action","Foundational possession accounting and basketball statistics; not a modern decision-support validation."
"OA02","Skinner2012","on-court action","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:SP04","constrained prescription","state-to-action","partial","partial","no","partial","no","partial","partial","On-court action synthesis and Figure 4","Formalizes shot-selection tradeoffs; empirical intervention and opponent-response validation remain limited."
"OA03","Miller2014","on-court action","full conference paper","FULL_TEXT","02-player-value-role-evidence.csv:RO01","measurement","observation-to-state","no","partial","no","not applicable","not applicable","not applicable","partial","On-court action and Figure 3","Spatial shot-intensity model using tracking-era data; measurement rather than a tested coaching intervention."
"OA04","FranksDefense2015","on-court action","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:SP03","measurement","observation-to-state","no","partial","no","not applicable","not applicable","not applicable","partial","On-court action; Figure 3","Measures defensive spatial responsibility and skill; role and assignment transport are not prospectively tested."
